meal_id,date,meal_type,menu_name,ingredients,planned_portions
M0001,2025-01-01,Café,Pao com espinafre,"[""peixe"", ""cogumelo"", ""camarao"", ""cebola"", ""lentilha"", ""alho"", ""carne moida""]",60
M0002,2025-01-01,Almoço,Lentilha com tofu,"[""carne moida"", ""salsinha"", ""maca"", ""sal""]",76
M0003,2025-01-01,Jantar,Peixe com iogurte,"[""pao"", ""iogurte"", ""tomate"", ""queijo""]",88
M0004,2025-01-02,Café,Salsinha com leite condensado,"[""mandioca"", ""camarao"", ""pimenta-do-reino"", ""arroz"", ""cogumelo"", ""batata doce""]",79
M0005,2025-01-02,Almoço,Cogumelo com cenoura,"[""aveia"", ""abobrinha"", ""cenoura"", ""chocolate"", ""batata doce""]",69
M0006,2025-01-02,Jantar,Espinafre com cebola,"[""creme de leite"", ""azeite"", ""maca"", ""ervas finas"", ""tofu""]",76
M0007,2025-01-03,Café,Sal com oregano,"[""frango"", ""batata"", ""tofu"", ""brocolis"", ""espinafre"", ""macarrao""]",60
M0008,2025-01-03,Almoço,Azeite com peixe,"[""queijo"", ""chocolate"", ""couve"", ""batata doce"", ""creme de leite"", ""brocolis""]",95
M0009,2025-01-03,Jantar,Arroz com peixe,"[""molho de tomate"", ""leite"", ""salsinha"", ""macarrao""]",83
M0010,2025-01-04,Café,Mamao com batata doce,"[""brocolis"", ""peixe"", ""macarrao"", ""cebola"", ""iogurte""]",110
M0011,2025-01-04,Almoço,Macarrao com iogurte,"[""ervas finas"", ""pao"", ""cogumelo"", ""cenoura"", ""manteiga""]",109
M0012,2025-01-04,Jantar,Batata Doce com beterraba,"[""pao"", ""queijo"", ""ovo"", ""beterraba"", ""feijao""]",71
M0013,2025-01-05,Café,Chocolate com azeite,"[""cogumelo"", ""chocolate"", ""pao"", ""espinafre"", ""queijo"", ""molho de tomate"", ""cenoura""]",84
M0014,2025-01-05,Almoço,Macarrao com oregano,"[""banana"", ""lentilha"", ""manteiga"", ""cebola"", ""laranja""]",74
M0015,2025-01-05,Jantar,Feijao com ervas finas,"[""milho"", ""azeite"", ""espinafre"", ""carne moida"", ""fermento""]",77
M0016,2025-01-06,Café,Manteiga com cogumelo,"[""ervas finas"", ""salsinha"", ""azeite"", ""feijao"", ""abobrinha"", ""aveia"", ""ovo""]",97
M0017,2025-01-06,Almoço,Aveia com macarrao,"[""abacaxi"", ""brocolis"", ""manteiga"", ""leite condensado""]",110
M0018,2025-01-06,Jantar,Alho com couve,"[""ervilha"", ""manga"", ""banana"", ""aveia""]",62
M0019,2025-01-07,Café,Creme De Leite com brocolis,"[""pimenta-do-reino"", ""salsinha"", ""ervas finas"", ""leite condensado""]",107
M0020,2025-01-07,Almoço,Chocolate com cogumelo,"[""iogurte"", ""brocolis"", ""carne moida"", ""cogumelo"", ""azeite""]",99
M0021,2025-01-07,Jantar,Alho com ervas finas,"[""leite condensado"", ""cebola"", ""sal"", ""cogumelo""]",86
M0022,2025-01-08,Café,Alho com beterraba,"[""batata doce"", ""peixe"", ""banana"", ""beterraba"", ""cogumelo"", ""ervilha""]",103
M0023,2025-01-08,Almoço,Chocolate com ovo,"[""milho"", ""batata doce"", ""arroz"", ""cebola"", ""tomate"", ""maca""]",87
M0024,2025-01-08,Jantar,Mamao com mandioca,"[""lentilha"", ""couve"", ""farinha"", ""ervas finas"", ""maca"", ""sal""]",90
M0025,2025-01-09,Café,Chocolate com queijo,"[""tomate"", ""sal"", ""cogumelo"", ""tofu""]",99
M0026,2025-01-09,Almoço,Azeite com batata,"[""ervas finas"", ""cebola"", ""laranja"", ""banana"", ""leite""]",61
M0027,2025-01-09,Jantar,Macarrao com aveia,"[""mandioca"", ""carne moida"", ""lentilha"", ""beterraba"", ""tofu"", ""manga"", ""banana""]",105
M0028,2025-01-10,Café,Molho De Tomate com ervilha,"[""milho"", ""pao"", ""leite"", ""camarao"", ""molho de tomate"", ""arroz"", ""cenoura""]",109
M0029,2025-01-10,Almoço,Brocolis com laranja,"[""molho de tomate"", ""pimenta-do-reino"", ""lentilha"", ""frango"", ""batata doce""]",75
M0030,2025-01-10,Jantar,Abobrinha com pimenta,"[""lentilha"", ""cogumelo"", ""pimenta-do-reino"", ""batata doce"", ""abacaxi""]",80
M0031,2025-01-11,Café,Farinha com couve,"[""batata doce"", ""couve"", ""queijo"", ""pimenta"", ""farinha"", ""aveia"", ""pao""]",100
M0032,2025-01-11,Almoço,Espinafre com salsinha,"[""tofu"", ""pao"", ""espinafre"", ""couve"", ""carne moida"", ""tomate"", ""farinha""]",77
M0033,2025-01-11,Jantar,Azeite com alho,"[""peixe"", ""leite"", ""laranja"", ""ervilha""]",104
M0034,2025-01-12,Café,Leite com leite condensado,"[""carne moida"", ""beterraba"", ""azeite"", ""salsinha"", ""lentilha""]",86
M0035,2025-01-12,Almoço,Frango com laranja,"[""ervilha"", ""mamao"", ""molho de tomate"", ""feijao"", ""manga"", ""fermento"", ""pimenta""]",60
M0036,2025-01-12,Jantar,Manteiga com cebola,"[""beterraba"", ""salsinha"", ""chocolate"", ""farinha"", ""abacaxi"", ""laranja"", ""oregano""]",74
M0037,2025-01-13,Café,Espinafre com couve,"[""feijao"", ""ervilha"", ""azeite"", ""cogumelo"", ""ervas finas"", ""milho"", ""queijo""]",89
M0038,2025-01-13,Almoço,Peixe com tofu,"[""milho"", ""mamao"", ""manga"", ""cogumelo""]",61
M0039,2025-01-13,Jantar,Batata com cogumelo,"[""peixe"", ""lentilha"", ""ovo"", ""frango"", ""aveia"", ""ervilha"", ""alho""]",73
M0040,2025-01-14,Café,Lentilha com alho,"[""farinha"", ""ervilha"", ""espinafre"", ""beterraba"", ""aveia"", ""batata""]",90
M0041,2025-01-14,Almoço,Feijao com farinha,"[""manteiga"", ""laranja"", ""camarao"", ""carne moida""]",109
M0042,2025-01-14,Jantar,Camarao com macarrao,"[""pao"", ""banana"", ""feijao"", ""mandioca""]",69
M0043,2025-01-15,Café,Pao com peixe,"[""cogumelo"", ""abobrinha"", ""manga"", ""maca"", ""lentilha"", ""molho de tomate"", ""aveia""]",109
M0044,2025-01-15,Almoço,Iogurte com queijo,"[""fermento"", ""queijo"", ""cebola"", ""cenoura""]",97
M0045,2025-01-15,Jantar,Feijao com alho,"[""milho"", ""creme de leite"", ""banana"", ""carne moida"", ""mamao"", ""molho de tomate"", ""tofu""]",75
M0046,2025-01-16,Café,Cenoura com creme de leite,"[""ervas finas"", ""abacaxi"", ""abobrinha"", ""manga"", ""macarrao"", ""manteiga""]",94
M0047,2025-01-16,Almoço,Brocolis com ervas finas,"[""carne moida"", ""sal"", ""camarao"", ""azeite"", ""arroz"", ""beterraba""]",91
M0048,2025-01-16,Jantar,Cenoura com couve,"[""tofu"", ""lentilha"", ""creme de leite"", ""leite"", ""brocolis"", ""ovo""]",106
M0049,2025-01-17,Café,Pimenta-Do-Reino com cogumelo,"[""mandioca"", ""salsinha"", ""pimenta"", ""lentilha"", ""brocolis"", ""mamao""]",77
M0050,2025-01-17,Almoço,Alho com pao,"[""espinafre"", ""couve"", ""pao"", ""farinha""]",89
M0051,2025-01-17,Jantar,Manga com tofu,"[""azeite"", ""feijao"", ""oregano"", ""alho"", ""ovo"", ""chocolate"", ""maca""]",82
M0052,2025-01-18,Café,Aveia com manteiga,"[""abacaxi"", ""molho de tomate"", ""espinafre"", ""batata doce"", ""arroz"", ""pimenta-do-reino""]",72
M0053,2025-01-18,Almoço,Batata com aveia,"[""oregano"", ""batata doce"", ""pao"", ""molho de tomate"", ""pimenta"", ""camarao"", ""fermento""]",88
M0054,2025-01-18,Jantar,Feijao com cenoura,"[""laranja"", ""milho"", ""molho de tomate"", ""pao"", ""cebola"", ""cogumelo""]",97
M0055,2025-01-19,Café,Iogurte com oregano,"[""brocolis"", ""chocolate"", ""batata doce"", ""azeite"", ""manteiga"", ""molho de tomate""]",89
M0056,2025-01-19,Almoço,Espinafre com alho,"[""laranja"", ""abobrinha"", ""leite condensado"", ""banana"", ""alho"", ""farinha""]",107
M0057,2025-01-19,Jantar,Salsinha com fermento,"[""banana"", ""maca"", ""chocolate"", ""pimenta"", ""espinafre""]",106
M0058,2025-01-20,Café,Mamao com fermento,"[""cenoura"", ""banana"", ""tomate"", ""laranja"", ""iogurte"", ""ovo""]",79
M0059,2025-01-20,Almoço,Arroz com leite condensado,"[""espinafre"", ""macarrao"", ""frango"", ""batata doce"", ""tomate""]",104
M0060,2025-01-20,Jantar,Peixe com camarao,"[""cenoura"", ""arroz"", ""manga"", ""tomate"", ""pimenta"", ""creme de leite"", ""couve""]",81
M0061,2025-01-21,Café,Ovo com frango,"[""pimenta"", ""abobrinha"", ""carne moida"", ""milho"", ""oregano"", ""chocolate""]",96
M0062,2025-01-21,Almoço,Tofu com molho de tomate,"[""leite"", ""manga"", ""cebola"", ""batata""]",75
M0063,2025-01-21,Jantar,Abobrinha com manga,"[""abacaxi"", ""fermento"", ""mandioca"", ""laranja"", ""pimenta-do-reino"", ""ervilha"", ""couve""]",88
M0064,2025-01-22,Café,Cebola com abacaxi,"[""cebola"", ""manga"", ""mandioca"", ""frango"", ""chocolate"", ""cenoura"", ""maca""]",100
M0065,2025-01-22,Almoço,Maca com espinafre,"[""queijo"", ""pao"", ""ovo"", ""batata doce""]",64
M0066,2025-01-22,Jantar,Queijo com arroz,"[""couve"", ""molho de tomate"", ""abacaxi"", ""pimenta"", ""tomate"", ""macarrao"", ""laranja""]",78
M0067,2025-01-23,Café,Creme De Leite com tomate,"[""carne moida"", ""ervas finas"", ""laranja"", ""aveia"", ""tofu"", ""mamao"", ""cogumelo""]",72
M0068,2025-01-23,Almoço,Brocolis com abobrinha,"[""camarao"", ""leite"", ""espinafre"", ""carne moida"", ""frango""]",70
